anime_id,source_type,score,popularity_rank,members_count,favorites_count,total_count,emotion
16498,Manga,8.52,1,3329298,148196,3329298,anger
1535,Manga,8.61,2,3321130,151551,3321130,anger
5114,Manga,9.03,3,2815980,197551,2815980,sadness
30276,Web manga,8.49,4,2723278,56545,2723278,surprise
11757,Light novel,7.19,5,2695325,63171,2695325,joy
31964,Manga,7.94,6,2562011,51353,2562011,joy
22319,Manga,7.8,7,2429795,45581,2429795,anger
20,Manga,7.95,8,2419030,67899,2419030,anger
38000,Manga,8.54,9,2326157,77108,2326157,sadness
11061,Manga,8.96,10,2294610,175972,2294610,anger
32281,Original,8.85,11,2291288,79471,2291288,joy
25777,Manga,8.5,12,2239789,19305,2239789,fear
9253,Visual novel,8.98,13,2187275,167170,2187275,anger
33486,Manga,8.17,14,2150202,17093,2150202,anger
19815,Light novel,8.08,15,2111041,45619,2111041,sadness
1735,Manga,8.19,16,2052937,94156,2052937,anger
1575,Original,8.67,17,1943204,97205,1943204,anger
4224,Light novel,8.06,18,1931906,52337,1931906,love
28851,Manga,8.94,19,1903679,73531,1903679,anger
20507,Manga,7.96,20,1890677,30453,1890677,fear
35760,Manga,8.63,21,1883108,17925,1883108,fear
23273,Manga,8.62,22,1881661,77265,1881661,joy
31240,Light novel,8.22,23,1876698,59822,1876698,fear
6547,Original,8.06,24,1867149,45677,1867149,anger
36456,Manga,8.1,25,1842553,12702,1842553,joy
21,Manga,8.65,26,1810538,156844,1810503,anger
10620,Manga,7.44,27,1799571,28851,1799571,fear
22199,Manga,7.47,28,1797880,25480,1797880,joy
23755,Manga,7.69,29,1790839,18753,1790839,fear
31043,Manga,8.31,30,1777704,42410,1777704,sadness
38524,Manga,9.05,31,1759065,49257,1759065,fear
40748,Manga,8.67,32,1746348,65198,1746348,fear
21881,Light novel,6.69,33,1737298,8933,1737298,fear
9919,Manga,7.52,34,1702854,15816,1702854,anger
24833,Manga,8.07,35,1681944,25897,1681944,fear
32182,Web manga,8.45,36,1673641,36930,1673641,anger
30831,Light novel,8.12,37,1653101,39661,1653101,sadness
20583,Manga,8.42,38,1644332,64590,1644332,fear
37779,Manga,8.53,39,1633910,30836,1633910,joy
269,Manga,7.73,40,1605923,57088,1605923,fear
22535,Manga,8.32,41,1589783,30287,1589783,fear
1,Original,8.72,42,1572004,69678,1572004,anger
199,Original,8.8,43,1568716,27537,1568716,sadness
6702,Manga,7.46,44,1555785,43194,1555785,joy
27899,Manga,7.05,45,1551648,9855,1551648,anger
2904,Original,8.88,46,1533101,69323,1533101,sadness
18679,Original,7.95,47,1517993,34414,1517993,anger
28223,Original,8.14,48,1514049,25009,1514049,fear
40028,Manga,8.82,49,1509119,49804,1509119,fear
30,Original,8.32,50,1506364,87894,1506364,fear
11111,Light novel,7.5,51,1466991,15593,1466991,fear
33352,Light novel,8.61,52,1455036,49069,1455036,anger
28171,Manga,8.13,53,1447084,22685,1447084,surprise
3588,Manga,7.78,54,1436647,23522,1436647,joy
13601,Original,8.28,55,1434897,35209,1434897,sadness
9989,Original,8.32,56,1429202,31074,1429202,joy
2001,Original,8.56,57,1416425,70698,1416425,fear
37450,Light novel,8.25,58,1408022,40400,1408022,sadness
38408,Manga,7.96,59,1406892,7950,1406892,anger
38691,Manga,8.25,60,1390205,23039,1390205,fear
35849,Original,7.21,61,1376470,28200,1376470,fear
28999,Original,7.74,62,1370288,20181,1370288,anger
34134,Web manga,7.46,63,1369074,5405,1369074,fear
14719,Manga,7.88,64,1358511,32021,1358511,anger
226,Manga,7.5,65,1358166,22269,1358166,anger
37999,Manga,8.36,66,1349450,30458,1349450,joy
121,Manga,8.11,67,1331246,24337,1331246,joy
15809,Light novel,7.78,68,1328208,10362,1328208,anger
10087,Light novel,8.27,69,1326039,31676,1326039,anger
8074,Manga,7.08,70,1325921,9117,1325921,fear
28121,Light novel,7.56,71,1319702,10623,1319702,joy
29803,Light novel,7.89,72,1309035,21265,1309035,joy
34572,Manga,7.78,73,1291747,35118,1291747,anger
30503,Manga,8.17,74,1280069,10978,1280069,anger
2167,Visual novel,7.98,75,1275459,26195,1275459,sadness
32937,Light novel,8.27,76,1277831,11119,1277831,sadness
6746,Light novel,8.06,77,1270539,28888,1270539,fear
35790,Light novel,8.01,78,1271507,24474,1271507,anger
5081,Light novel,8.29,79,1256430,45374,1256430,fear
11617,Light novel,7.33,80,1241198,20230,1241198,joy
14813,Light novel,8.02,81,1229141,25859,1229141,sadness
34933,Manga,7.24,82,1227144,9255,1227144,joy
28891,Manga,8.64,83,1204638,14803,1204638,anger
30654,Manga,8.49,84,1196485,16181,1196485,anger
14741,Light novel,7.71,85,1190756,16369,1190756,joy
37510,Web manga,8.78,86,1188623,27448,1188623,joy
12189,Novel,8.02,87,1184500,24257,1184500,joy
26243,Manga,7.49,88,1137721,12018,1137721,anger
9756,Original,8.33,89,1128041,47869,1128041,joy
37430,Manga,8.11,90,1119943,22306,1119943,joy
13759,Light novel,8.08,91,1111125,25420,1111125,fear
6880,Manga,7.18,92,1104951,6183,1104951,fear
10793,Original,7.39,93,1102273,16397,1102273,anger
31478,Manga,7.81,94,1104012,21052,1104012,fear
34599,Web manga,8.64,95,1100392,35934,1100392,fear
7054,Manga,8.0,96,1096709,20632,1096709,anger
431,Novel,8.68,97,1093866,22387,1093866,sadness
205,Original,8.46,98,1076795,32291,1076795,anger
813,Manga,8.16,99,1073082,32100,1073082,joy
164,Original,8.69,100,1068863,18177,1068863,anger
40456,Manga,8.68,101,1067615,11184,1067615,fear
4181,Visual novel,8.89,102,1061434,65439,1061434,sadness
33206,Manga,7.97,103,1054497,15760,1054497,anger
4898,Manga,7.65,104,1046117,20999,1046117,anger
37521,Manga,8.69,105,1047339,30514,1047339,love
38671,Manga,7.62,106,1042781,7114,1042781,anger
18897,Manga,7.57,107,1035739,10285,1035739,fear
11771,Manga,8.06,108,1031903,19301,1031903,joy
18153,Light novel,7.72,109,1030345,11137,1030345,fear
40591,Manga,8.62,110,1017807,18292,1017807,sadness
17265,Light novel,7.88,111,1003568,9841,1003568,surprise
32935,Manga,8.77,112,1004335,14147,1004335,anger
23283,Original,8.09,113,1001094,19670,1001094,fear
32282,Manga,8.1,114,998507,2982,998507,joy
853,Manga,8.14,115,990596,30318,990596,joy
11741,Light novel,8.55,116,981435,18996,981435,fear
20899,Manga,8.1,117,983504,18065,983504,anger
36511,Manga,6.37,118,976106,3405,976106,fear
34577,Manga,7.64,119,972910,3758,972910,anger
37520,Manga,8.21,120,969729,15861,969729,anger
42897,Manga,8.2,121,963993,24909,963993,joy
14227,Manga,7.49,122,938229,5523,938229,anger
5680,4-koma manga,7.81,123,930511,21299,930511,joy
35120,Manga,7.76,124,926977,19448,926977,sadness
918,Manga,8.62,125,923544,53392,923544,fear
20785,Light novel,7.37,126,924804,10392,924804,joy
22297,Visual novel,8.19,127,922815,14767,922815,joy
14513,Manga,8.0,128,919019,8377,919019,sadness
37349,Light novel,7.35,129,915640,5922,915640,fear
23847,Light novel,8.23,130,909879,15198,909879,joy
39587,Light novel,8.36,131,901870,10629,901870,sadness
523,Original,8.28,132,900079,6925,900079,joy
31933,Manga,8.48,133,898330,32862,898330,fear
26055,Manga,8.43,134,897038,17398,897038,joy
223,Manga,7.95,135,890292,13036,890292,joy
15583,Light novel,7.2,136,888381,8638,888381,sadness
30015,Web manga,7.97,137,888885,8858,888885,sadness
17895,Light novel,7.71,138,882195,11476,882195,sadness
33255,Manga,8.32,139,881069,23242,881069,joy
39535,Light novel,8.34,140,876739,20337,876739,anger
42249,Manga,8.13,141,871922,21677,871922,sadness
36474,Light novel,7.55,142,870715,6512,870715,fear
30240,Manga,7.57,143,867425,6376,867425,joy
41587,Manga,7.45,144,862527,9651,862527,anger
22043,Manga,7.62,145,861727,11109,861727,joy
35507,Light novel,7.84,146,863302,12362,863302,joy
356,Visual novel,7.28,147,853593,6868,853593,fear
889,Manga,8.01,148,852089,15339,852089,sadness
2025,Original,8.04,149,851252,15751,851252,fear
35788,Manga,8.02,150,843834,2520,843834,anger
849,Light novel,7.83,151,833186,14385,833186,sadness
16592,Game,7.24,152,831397,7728,831397,surprise
1689,Original,7.62,153,828466,10056,828466,love
20787,Light novel,7.1,154,829573,3554,829573,anger
35073,Light novel,7.75,155,825953,3771,825953,anger
23289,4-koma manga,7.84,156,823374,10149,823374,joy
19,Manga,8.68,157,817054,36227,817054,joy
2251,Light novel,8.33,158,815825,22042,815825,joy
27775,Original,7.89,159,814304,10577,814304,anger
15451,Light novel,7.51,160,810408,4318,810408,anger
30296,Light novel,7.46,161,807820,7854,807820,anger
37991,Manga,8.56,162,804141,26082,804141,fear
777,Manga,8.35,163,800416,18869,800416,fear
6045,Manga,7.96,164,790191,11214,790191,love
21995,Manga,7.66,165,785077,8837,785077,joy
35968,Web manga,7.93,166,785119,9214,785119,joy
40852,Manga,8.18,167,780279,6375,780279,fear
14345,Manga,7.3,168,776133,3209,776133,sadness
39617,Manga,5.44,169,776314,4482,776314,fear
10165,Manga,8.35,170,769773,20294,769773,joy
32995,Original,7.89,171,765647,18902,765647,joy
32,Original,8.54,172,763742,23390,763742,sadness
38826,Original,8.32,173,761901,10100,761901,fear
35062,Manga,8.03,174,761393,9670,761393,sadness
32615,Light novel,7.93,175,760212,10248,760212,fear
40839,Manga,7.23,176,757453,7441,757453,sadness
24439,Manga,7.57,177,757124,6804,757124,fear
11887,Light novel,7.75,178,751516,7569,751516,fear
18115,Manga,8.2,179,750403,7268,750403,sadness
33674,Light novel,8.2,180,750345,7073,750345,joy
28701,Visual novel,8.31,181,748473,8503,748473,joy
47778,Manga,8.89,182,745804,16359,745804,anger
40221,Web manga,7.55,183,744199,5471,744199,fear
38101,Manga,7.67,184,745137,11612,745137,anger
30484,Visual novel,8.48,185,740138,10313,740138,sadness
38883,Manga,8.37,186,740350,4540,740350,joy
1195,Light novel,7.25,187,738002,7514,738002,anger
16782,Original,7.92,188,737288,6194,737288,sadness
25157,Manga,7.07,189,736782,3575,736782,sadness
10719,Light novel,7.18,190,732280,3615,732280,anger
48583,Manga,9.02,190,736558,21352,736384,anger
16894,Manga,8.23,192,734458,4089,734458,anger
34566,Manga,5.92,193,729923,6384,729910,joy
2966,Light novel,8.2,194,730030,16742,730030,joy
36098,Novel,8.56,195,732491,16330,732491,joy
41353,Web manga,7.06,196,729480,3574,729480,joy
25013,Manga,8.0,197,730372,13904,730372,joy
4654,Light novel,7.38,198,728082,5192,728082,surprise
457,Manga,8.55,199,724932,24139,724932,joy
934,Visual novel,7.87,200,724296,19465,724296,fear
12355,Original,8.59,201,721228,10404,721228,joy
11843,Web manga,8.22,202,717771,12765,717771,joy
33487,Manga,6.74,203,718292,2790,718292,sadness
37675,Light novel,7.92,204,717538,4653,717538,fear
227,Original,8.02,205,715362,26059,715362,sadness
18507,Original,7.32,206,716483,9094,716483,anger
10408,Manga,8.33,207,714404,9285,714404,fear
2236,Novel,8.14,208,710756,5401,710756,fear
28623,Original,7.26,209,708056,3062,708056,sadness
245,Manga,8.61,210,706082,22574,706082,joy
47,Manga,8.18,211,706128,10994,706128,anger
32729,Manga,7.6,212,707075,5993,707075,fear
13125,Novel,8.23,213,703961,20936,703961,joy
24703,Light novel,7.45,214,705731,3714,705756,fear
39195,Manga,7.84,215,704548,8663,704548,fear
28907,Light novel,7.67,216,701801,5540,701801,fear
37799,Manga,6.38,217,701788,2385,701788,sadness
249,Manga,7.79,218,697161,16298,697161,anger
30694,Manga,7.38,219,697172,8649,697172,fear
29786,Light novel,7.24,220,694782,3474,694782,anger
39551,Manga,8.39,221,695063,9198,695063,anger
14467,Original,7.43,222,690942,6338,690942,anger
28677,Manga,7.56,223,684561,3751,684561,anger
36649,Manga,8.46,224,683661,25302,683661,fear
32867,Manga,8.2,225,679858,5972,679858,anger
28927,Manga,7.63,226,677092,2661,677092,joy
37347,Light novel,7.23,227,668587,1851,668587,fear
42203,Light novel,8.46,228,667649,10721,667649,sadness
11597,Light novel,8.14,229,665733,3742,665733,fear
32542,Manga,7.51,230,667186,2321,667186,joy
11759,Light novel,7.19,231,659513,3752,659513,anger
33506,Manga,7.36,232,659795,1473,659795,anger
30307,Manga,6.97,233,657122,3555,657122,fear
18671,Light novel,7.55,234,651631,2372,651631,sadness
31798,Original,7.37,235,650822,4533,650822,sadness
41025,Manga,8.37,236,646612,10937,646612,sadness
24415,Manga,8.3,237,647662,4653,647662,joy
6,Manga,8.19,238,645749,12960,645749,anger
37086,Manga,7.2,239,640052,1755,640052,joy
31859,Light novel,7.62,240,637283,5360,637283,joy
38680,Manga,8.17,241,636629,11999,636629,surprise
1210,Novel,8.26,242,634070,22928,634070,anger
270,Manga,7.5,243,633636,5352,633636,fear
32901,Light novel,6.34,244,633955,2632,633955,sadness
1482,Manga,7.9,245,632193,13037,632193,sadness
8769,Light novel,6.97,246,631015,4313,631015,joy
